reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
61ccddf5-2848-47d6-83a7-434e4e613bfa,Andi Gunawan,https://play-lh.googleusercontent.com/a-/ACB-R5RnymX5SGkBLrMLh5p-ED6iNCewGUqL4QavP1C7Fg,Udah sering belanja trs tapi setiap pengajuan tidak lolos trs.. jadi males belanja. Uninstal aja,1,1,2.95.47,2022-12-05 13:29:47,"Hi kak, maaf ya buat gak nyaman. terkait kendala km, aku saranin yuk tingkatin lg berbelanja di aplikasi shopeenya karena pengguna yang bisa naik limit SPayLater & SPinjam. ditentukan berdasarkan perilaku pengguna oleh tim analis Shopee. Jika ada pertanyaan km bs hub via Live Chat atau ke DM sosmed @Shopee_id / @Shopeecare ya. Terima Kasih 🙏 ^XA",2022-11-04 16:59:58
affdfdc0-0a10-4353-8ba9-52a669f8a1ba,Sari Sari,https://play-lh.googleusercontent.com/a/AGNmyxYhwFgk9HKVrbpDfx06ZcAaE6T1TORTcACWDs4s=mo,Semenjak di upgrade.. SHOPEE JADI LEMOT,1,0,,2022-12-27 05:36:57,"Hi kak maaf atas ketidaknyamannya🙏 Pastiin RAM/Memory HP kamu ga penuh yaa. Kamu bisa lakukan clear cache, pastikan jaringan internet stabil dan gunakan WIFI. Bisa lakukan log in dan log out kembali aplikasinya. Kalo ada kendala atau pertanyaan bisa chat Live Chat atau ke DM sosmed @Shopee_id atau @Shopeecare ya. Terima Kasih 🙏 ^PP",2022-12-27 06:14:13
f5a73edb-ae1a-4a1b-93a6-aa2a5fe5217e,Laz Ai,https://play-lh.googleusercontent.com/a/AGNmyxZEh-nwdm6hspNA4kmq2FwFUdLOgRJfUXlOyds=mo,Penyelesaian masalah sangat buruk,1,0,,2022-08-15 07:00:00,,
0ffb52f7-3611-4fd3-a874-6e3ef6ad4fed,Kuprit Bae,https://play-lh.googleusercontent.com/a/AGNmyxZqcFwRuMJsKMQFUMl6Rj5l_AdzedIGdFqDU2DT=mo,Apk engga😇 jls,1,0,2.52.07,2023-03-16 04:05:30,"Hai kak, maaf ya bikin ga nyaman. Kedepannya Shopee akan terus meningkatkan pelayanan agar mampu memberikan yg terbaik bagi seluruh pengguna, terimakasih atas pengertiannya ya kak. Mohon hubungi kami dengan memberikan screenshot review ini melalui Live Chat atau DM ke Social Media kita @Shopee_id / @Shopeecare ya🙏^GI",2023-03-16 05:17:45
c726e46a-3343-4db0-8733-30e8b42d9f1c,Evans irdas,https://play-lh.googleusercontent.com/a-/ACB-R5SK4m0R-Rp0kCZjq--Omyk_4EV3Jip10iIKLqrbmQ,Lelet stress. Udah update terbaru tetap aja lemot,1,0,2.95.52,2022-12-22 17:34:33,,
29d3c910-65ef-42c8-a981-4f6166e1a9e8,Surnayim,https://play-lh.googleusercontent.com/a-/ACB-R5SUCjXzedSv9lYVDPL3xLNiT6VZEWZP-dx_GCmf,Fitur lengkap tapi apk berat,1,0,2.39.10,2023-01-01 11:07:14,"Hai kak, maaf banget udah buat bingung, terkait aplikasi Shopee kakak yang berat, saat ini tidak ada kendala pada system Shopee, aku sarankan pastikan kakak sudah menggunakan versi aplikasi yang terbaru, coba lakukan clear cache, relogin dan pastikan sudah dalam jaringan yang stabil dan coba berkala dalam 1x24 jam ya, semoga membantu🙏^EF",2023-01-01 12:15:01
ab854b39-1e02-49fa-9690-dc33b79a882a,Oppo Sanggaukota,https://play-lh.googleusercontent.com/a/AGNmyxZ1RA6WKkOeKrhQiyvjJ7vP_ySzBUVqp8uiXMHY=mo,Shopee express jasa pengiriman lelet sekali.nyesel pakai shopee express.. masa Jakarta Kalimantan barat lebih dari satu Minggu. Bobrok ni expedisi,1,0,2.93.16,2022-10-04 04:03:50,,
19da8eca-bb77-4790-abb6-f1ff75b25b2b,Suhendra Yandi,https://play-lh.googleusercontent.com/a-/ACB-R5S_kf5slqj8ywBV2tSWjq1N-qV7AKJ32BQAXBQe6Q,"Bintang satu aja,,,, karena paylater ku d matikan pihak Shopee,, cuma telat berapa hari,,, dan yg penting d bayar juga kan,,, terimakasih",1,0,,2022-09-10 11:04:19,,
218eb626-8a79-4481-9744-e4035473bf4a,ZRIFF,https://play-lh.googleusercontent.com/a-/ACB-R5RXGxj9DpgHJtgddt_7jEOT5azKdmK-1NVBIHX0,Ga Kya dlu ada akun ff nya,1,0,,2022-11-16 00:44:42,"Halo kak Zaki, terkait kendala mengenai item free fire mimin infoin itu khusus pengguna baru ya dan kamu bisa klaim dgn cara: akses salah satu entry point>Share ke sosial media>Kembali ke aplikasi Shopee & klaim code item game>Code bisa diredeem diaplikasi game Free Fire. Kalo ada pertanyaan lainnya boleh kasih tau mimin via DM ya, met Siang^PB",2022-11-16 02:07:01
44cec607-8edf-47aa-9a65-48a8e3ba2161,Herlini Raiiz,https://play-lh.googleusercontent.com/a/AGNmyxZOaMtzrkxirZY5oHvV9E-NidWPQ1Og_MzJG_E5=mo,Aplikasi lemot,1,0,2.82.06,2023-03-13 15:22:10,,
